layer,neuron,p_value,effect_size_d,moral_mean,neutral_mean
0,142,1.2011606690188049e-62,1.136011818412437,0.26824138,0.21051416
0,154,3.2488140609111127e-41,0.9040088082289188,0.044471726,-0.04971527
0,162,4.957902513568184e-67,1.1827896261840267,0.005939663,-0.01928272
0,243,1.5318322575133952e-44,0.9529913121138013,-0.053319152,-0.10223012
0,321,7.2035432010336745e-62,1.1271901544400034,-0.114945285,-0.123389095
0,377,3.260091867230248e-36,0.8354738415789972,-0.07672687,-0.10723816
0,399,6.634655586379617e-77,1.3373155198105446,0.05099004,-0.06944318
0,492,3.947232002489879e-38,0.8522115472833542,0.1565698,0.1273545
0,575,2.9217331208877103e-39,0.8689471526884371,-0.05193492,-0.065773934
0,609,2.448265973253461e-39,0.8713444115440704,-0.05712786,-0.09773288
0,623,1.998850397878021e-61,1.1235604014838212,0.44004422,0.38426936
0,633,1.8258621478196893e-57,1.0843872594240092,-0.13982141,-0.14479679
0,752,5.310056895995016e-60,1.1068196720478705,-0.124271914,-0.13025397
0,864,4.129223408240576e-38,0.8528640801751791,0.23945728,0.19833392
0,1019,2.2234227984899554e-69,1.2115071256235022,-0.00841362,-0.019655393
0,1115,3.5592394434404352e-40,0.8783837836209285,1.806352,1.7243274
0,1125,3.1138019331627847e-62,1.1307756888903921,0.060670953,0.023241963
0,1127,4.302923913525302e-35,0.813745630914515,0.18532532,0.15089938
0,1143,1.2864385777176244e-38,0.8586055269553413,0.18425925,0.15350497
0,1176,4.578299062272103e-37,0.8426414158137481,-0.04362307,-0.071748145
0,1269,6.767559213194143e-42,0.89995695367933,-0.050436195,-0.0819377
0,1273,1.3654359841372552e-61,1.125350883600092,-0.09288171,-0.10425044
0,1333,4.0907024849082144e-38,0.8518795113634037,0.23091751,0.19446494
0,1344,7.333418539135255e-64,1.1560798271169956,1.7427318,1.663195
0,1433,1.7223455393565095e-44,0.9461461098488363,-0.01126153,-0.059349127
0,1450,5.5357611740372155e-46,0.9483545760461767,0.05925937,0.025182823
0,1454,4.097442227528254e-48,0.9733523405847975,0.21099292,0.17016983
0,1455,1.5093494246388265e-82,1.3652548369707576,-0.092044905,-0.11277238
0,1472,8.259599832323309e-50,0.99321304457814,-0.09118988,-0.09672746
0,1528,1.3278668490386054e-57,1.0851353595134543,0.016695598,-0.07639719
0,1587,4.8259531602542205e-42,0.9009027372898114,-0.010212773,-0.03593769
0,1614,6.855584328731474e-47,0.9690009963997656,-0.02475514,-0.04343166
0,1651,4.1160760926588404e-55,1.0846933372848113,-0.021140557,-0.0897223
0,1737,7.91974212903579e-44,0.943149058986483,0.023725843,-0.067781955
0,1819,1.0915720371595559e-35,0.8216553555114264,-0.105612844,-0.11358389
0,1821,3.1412712574929253e-58,1.137249117727667,-0.03957679,-0.100171275
0,1838,8.529075991893894e-38,0.8480214454244742,0.016089816,-0.020215929
0,1909,8.833956280240908e-36,0.82559729587638,0.04418589,-0.0066904114
0,2052,3.472816309816853e-107,1.6285289043145055,0.016999017,-0.09761673
0,2102,3.577140593879378e-39,0.8653547717323613,0.044750854,-0.0066729127
0,2178,1.1494436225120367e-50,1.0033973451144618,-0.09721285,-0.11140257
0,2392,4.849836962336261e-41,0.9079937263683824,-0.05602314,-0.10219255
0,2421,1.1621650921012782e-45,0.9485152931478056,-0.004575372,-0.06923834
0,2511,1.1356624339642615e-66,1.1781048708921384,0.09593292,0.039136764
0,2567,7.274393893050871e-42,0.9110876120369309,-0.056577165,-0.10635352
0,2627,2.3141700589462555e-49,1.0212723403807311,0.021801705,-0.064189166
0,2696,1.7932529437182852e-53,1.0359739546584372,0.052449975,0.00029735733
0,2752,6.33117672272674e-90,1.4132166513800046,0.034323364,-0.022433402
0,2758,1.2416022891428252e-34,0.8068102497856336,-0.0046785185,-0.03153839
0,2847,5.1170141170603606e-39,0.8635376905947973,-0.004415117,-0.025394345
0,2870,1.6381952116544028e-36,0.8356154905021823,-0.025614826,-0.06591078
0,2910,7.331795433996076e-51,1.0103791629129502,-0.020779599,-0.07728285
0,2925,4.4791140766722e-110,1.6059399774078686,0.21730123,0.16164912
0,3035,7.817881890336042e-86,1.3725722909729163,0.17557491,0.13895099
0,3065,4.289952204878544e-50,0.9962657179956506,0.26472303,0.2138104
1,13,2.846321894179321e-37,0.8458556703403282,-0.061302993,-0.0841655
1,34,9.648444408977919e-37,0.8343095430810981,0.072166696,0.03857738
1,42,1.6148233282637825e-41,0.9247105468694077,-0.011100851,-0.10423743
1,58,2.3430548725914924e-86,1.3799362363930348,0.02511091,-0.02317755
1,146,3.909475152825565e-48,0.9793403562089582,-0.009692671,-0.010986889
1,159,1.4578345170007884e-79,1.3102408872293922,-0.0072160196,-0.028924152
1,172,1.699355564300084e-76,1.2809577514876458,-0.075395934,-0.080721594
1,189,5.70066496487576e-39,0.8627444641376543,-0.07805635,-0.09355278
