group,overall_accuracy,moral_accuracy,neutral_accuracy,flip_count,n_samples
baseline,0.0024968789013732834,0.0,0.004975124378109453,0,801
all_virtue,0.003745318352059925,0.0,0.007462686567164179,84,801
control_all_virtue,0.006242197253433208,0.0,0.012437810945273632,66,801
virtue_only,0.003745318352059925,0.0,0.007462686567164179,62,801
control_virtue_only,0.0024968789013732834,0.0,0.004975124378109453,113,801
top_virtue,0.003745318352059925,0.0,0.007462686567164179,40,801
control_top_virtue,0.003745318352059925,0.0,0.007462686567164179,22,801
