combo,layer,neuron,v_activation,d_activation,u_activation
VD,9.0,1784.0,-0.0013244939114665612,-0.027286584969144316,
VD,4.0,2999.0,0.06568851408563205,0.054545364567155044,
VD,1.0,2737.0,0.02720999175799079,0.030026622969686285,
VD,6.0,1769.0,-0.0595816913851304,-0.06691746845660965,
VD,5.0,483.0,0.02746677351065955,0.019708394071814836,
VD,1.0,342.0,0.30129181015491485,0.30399576264619826,
VD,4.0,1696.0,0.07411394555901643,0.03457623778429115,
VD,10.0,180.0,-0.0621868926808238,-0.06055118327168748,
VD,10.0,1739.0,0.025121933804242873,-0.020133377054022277,
VD,3.0,3021.0,0.11391363048192579,0.08710199427232146,
VD,9.0,2952.0,0.23046780515089632,0.20051600848091766,
VD,7.0,529.0,-0.0298875831022915,-0.027739324808120726,
VD,1.0,1034.0,-0.05690200223773718,-0.05205484655499458,
VD,11.0,261.0,-0.06933418203832116,-0.06309994560433552,
VD,5.0,101.0,-0.059950818467885254,-0.059954846594482664,
VD,2.0,2665.0,0.010793666608329658,0.013747939201499321,
VD,8.0,103.0,0.03812596813516575,0.02499920016818214,
VD,8.0,2754.0,-0.03979173370450735,-0.03462927125999704,
VD,8.0,539.0,-0.06605153386294842,-0.0815010172277689,
VD,9.0,2579.0,0.07318143833859359,0.0878315983460052,
VD,1.0,1784.0,0.043816809186952015,0.04977639355010615,
VD,11.0,2997.0,-0.05371892862394452,-0.05120841972529888,
VD,3.0,689.0,-0.06953774297237396,-0.06670930898934603,
VD,6.0,1252.0,0.4962940765321255,0.4074463660120964,
VD,4.0,1170.0,0.10011017442820594,0.09847485170065193,
VD,1.0,481.0,0.12032442192966118,0.09074975368299056,
VD,5.0,2190.0,0.021391449069866213,0.017909791880621924,
VD,8.0,1707.0,-0.04807932022999739,-0.06424070107378066,
VD,6.0,2173.0,-0.06470364137814613,-0.06866091094724834,
VD,1.0,1411.0,-0.010120806865394115,-0.010108187270350755,
VD,10.0,2390.0,0.012082050368277123,0.03301040161389392,
VD,8.0,907.0,0.06758613046794198,0.06281635059660766,
VD,10.0,3064.0,0.07200018397328677,0.041024860068275305,
VD,11.0,903.0,-0.05642874265660066,-0.06961766552738845,
VD,2.0,180.0,-0.012271629396582284,-0.009010844043343241,
VD,10.0,1325.0,-0.010314596769938362,-0.08349802490370348,
VD,11.0,912.0,-0.038969235694559755,-0.06148673548945226,
VD,2.0,2642.0,-0.03223424581810832,-0.033690879460424185,
VD,5.0,2549.0,-0.05531908299028873,-0.060067899867892266,
VD,7.0,551.0,-0.08452769848390017,-0.09826655284315347,
VD,1.0,1285.0,-0.011478461923106807,-0.0003451114072536257,
VD,2.0,2898.0,-0.007859977983869611,-0.00783968192897737,
VD,7.0,798.0,-0.013548630822857377,-0.05584497284766985,
VD,9.0,2565.0,0.5925522721409797,0.3853580808639526,
VD,5.0,1920.0,-0.007341127171523112,-0.05176073806360364,
VD,11.0,2089.0,-0.014445426303718705,-0.019035325546050443,
VD,2.0,2260.0,0.11941739203035831,0.11097021308779949,
VD,0.0,1671.0,-0.11918388929963111,-0.11891662757098674,
VD,4.0,756.0,-0.031019776327186263,-0.0375550816009054,
VD,0.0,377.0,-0.05558141555034672,-0.06705317001370713,
VD,4.0,774.0,0.058785135943471685,0.04220171956736431,
VD,9.0,691.0,0.04845371497223096,0.02912334548815852,
VD,4.0,1915.0,-0.026329014973318406,0.022407427896163425,
VD,6.0,2900.0,-0.018296494047273883,-0.08664875431728433,
VD,9.0,2942.0,0.02143187264131848,0.03167225755518302,
VD,1.0,588.0,-0.001412755170604214,-0.0013935054147150368,
VD,2.0,1069.0,-0.023366151658174204,-0.012439805586502189,
VD,10.0,1082.0,0.07411155301010876,0.07452156287205798,
VD,3.0,1699.0,-0.044636982280761,-0.04593519416451454,
VD,7.0,2990.0,0.000733886722358875,0.020148321759144893,
VD,1.0,1271.0,0.2546953663229942,0.2736425091922283,
VD,7.0,775.0,0.035271356025448765,0.05060920061904471,
VD,1.0,2174.0,-0.04618120254801579,-0.06123627637326717,
VD,8.0,2317.0,0.025689372160821223,-0.022194723777553008,
